site,model,condition,arm,split,auprc,auroc
A,RF,1_none,full,0,0.2028816852701516,0.74721656683682
A,RF,1_none,full,1,0.24318481571032494,0.7595085279610151
A,RF,1_none,full,2,0.1981193640000421,0.7178616707276004
A,RF,1_none,full,3,0.24040220271559704,0.7669147798181493
A,RF,1_none,full,4,0.2194534110467627,0.7628761316138746
A,RF,1_none,full,5,0.22073425952987094,0.739099859353024
A,RF,1_none,full,6,0.24144903709409637,0.7449609754164934
A,RF,1_none,full,7,0.22742098219916926,0.7693835304371943
A,RF,1_none,full,8,0.2020697514136376,0.743101364869951
A,RF,1_none,full,9,0.20604204907038878,0.7373442483310553
A,RF,1_none,full,10,0.22358507501659913,0.7661473547549495
A,RF,1_none,full,11,0.21192730703674378,0.7470904894910957
A,RF,1_none,full,12,0.22011526211084,0.7643395534953745
A,RF,1_none,full,13,0.20949746132617605,0.7346303559755155
A,RF,1_none,full,14,0.21438894027181055,0.739028050157485
A,RF,1_none,full,15,0.20582513022085744,0.7327363213439162
A,RF,1_none,full,16,0.2337485990949434,0.7649140270596857
A,RF,1_none,full,17,0.20732127726285834,0.7295120936590004
A,RF,1_none,full,18,0.2246486727585201,0.7709435233057982
A,RF,1_none,full,19,0.23940978175638494,0.7625368950694321
A,RF,1_none,full,20,0.21381193935681841,0.7175823473291828
A,RF,1_none,full,21,0.2220809632576054,0.7644485053782611
A,RF,1_none,full,22,0.20840685956119726,0.7483756264733266
A,RF,1_none,full,23,0.21572652384259244,0.7335284562508667
A,RF,1_none,full,24,0.22175967705400396,0.7671623977338009
A,RF,1_none,lab_indicators_only,0,0.20860585710181012,0.7427119294207902
A,RF,1_none,lab_indicators_only,1,0.22314972622723409,0.7450005942829977
A,RF,1_none,lab_indicators_only,2,0.2131600827332288,0.7174778629583407
A,RF,1_none,lab_indicators_only,3,0.21520563338247062,0.7555491174897486
A,RF,1_none,lab_indicators_only,4,0.19954754367168162,0.736284443652067
A,RF,1_none,lab_indicators_only,5,0.23260749126114472,0.7231320016130143
A,RF,1_none,lab_indicators_only,6,0.22630668652540478,0.7450525940452843
A,RF,1_none,lab_indicators_only,7,0.21635257752420783,0.7624626096947367
A,RF,1_none,lab_indicators_only,8,0.19123503402434355,0.7172847209841327
A,RF,1_none,lab_indicators_only,9,0.2010478566503341,0.7286132406251857
A,RF,1_none,lab_indicators_only,10,0.23828542007420883,0.7670104157445929
A,RF,1_none,lab_indicators_only,11,0.19396451778429777,0.7046314454943444
A,RF,1_none,lab_indicators_only,12,0.213660716166677,0.7547715972346031
A,RF,1_none,lab_indicators_only,13,0.2000955641595743,0.7228140290406291
A,RF,1_none,lab_indicators_only,14,0.20733794672174616,0.7316713218834809
A,RF,1_none,lab_indicators_only,15,0.17631070282646774,0.7129326369832699
A,RF,1_none,lab_indicators_only,16,0.22330951176881506,0.7486306729264476
A,RF,1_none,lab_indicators_only,17,0.20407658165325376,0.7170915790099246
A,RF,1_none,lab_indicators_only,18,0.2059294368736379,0.7533230324280422
A,RF,1_none,lab_indicators_only,19,0.22852365393247637,0.7582407242328796
A,RF,1_none,lab_indicators_only,20,0.21944008086663683,0.7181995219969904
A,RF,1_none,lab_indicators_only,21,0.2195337561676854,0.7464491590895583
A,RF,1_none,lab_indicators_only,22,0.20464948450654055,0.7500544759414434
A,RF,1_none,lab_indicators_only,23,0.2227037556135206,0.7268749628573127
A,RF,1_none,lab_indicators_only,24,0.21278818624562315,0.7485390542976564
A,RF,5_SMOTENC,full,0,0.16758794079130834,0.7218312629705035
A,RF,5_SMOTENC,full,1,0.18257592041181755,0.7346254036172025
A,RF,5_SMOTENC,full,2,0.20870842379680685,0.736433014401458
A,RF,5_SMOTENC,full,3,0.23490751640778684,0.7812221429844892
A,RF,5_SMOTENC,full,4,0.22679123015194683,0.7547319783680989
A,RF,5_SMOTENC,full,5,0.1828665922566928,0.738108937476026
A,RF,5_SMOTENC,full,6,0.18975174147115126,0.7246538301539194
A,RF,5_SMOTENC,full,7,0.21087575338034156,0.7694528634535767
A,RF,5_SMOTENC,full,8,0.19055236352715035,0.7423758443770924
A,RF,5_SMOTENC,full,9,0.1915342939005938,0.7428884134624909
A,RF,5_SMOTENC,full,10,0.1849687143013919,0.7467174176034935
A,RF,5_SMOTENC,full,11,0.2083256109632975,0.744824785562885
A,RF,5_SMOTENC,full,12,0.20138505687590808,0.7434257443394544
