site,model,condition,arm,split,auprc,auroc
A,RF,1_none,full,0,0.17836067397290412,0.7534525704796653
A,RF,1_none,full,1,0.16194520372331087,0.737913146809467
A,RF,1_none,full,2,0.157938501642918,0.730975632050823
A,RF,1_none,full,3,0.14622551227081584,0.7114381830290921
A,RF,1_none,full,4,0.16556589548721823,0.7445353941832815
A,RF,1_none,full,5,0.18668337735299995,0.7688453598823879
A,RF,1_none,full,6,0.167290128479121,0.6904474439933272
A,RF,1_none,full,7,0.17353144689469063,0.7452429558421378
A,RF,1_none,full,8,0.17506625001617115,0.7414933551297187
A,RF,1_none,full,9,0.17465336137725596,0.752524617401378
A,RF,1_none,full,10,0.17997980321652032,0.7573793219022082
A,RF,1_none,full,11,0.17333476325918357,0.7267708468224164
A,RF,1_none,full,12,0.19858482220971288,0.7697442088986053
A,RF,1_none,full,13,0.14948427528524588,0.7306121908394636
A,RF,1_none,full,14,0.14580798910002596,0.7112504572891898
A,RF,1_none,full,15,0.17250750595382117,0.7408858233228467
A,RF,1_none,full,16,0.17994448753239844,0.7454143465443825
A,RF,1_none,full,17,0.1517681505692107,0.7376808171908683
A,RF,1_none,full,18,0.16166835202320898,0.7421385432749068
A,RF,1_none,full,19,0.1925931164474272,0.7333680110968843
A,RF,1_none,full,20,0.18191248338310076,0.7450163392469473
A,RF,1_none,full,21,0.1702197594464358,0.7355060596134949
A,RF,1_none,full,22,0.14339641664741432,0.7243542379207641
A,RF,1_none,full,23,0.15946555076244187,0.7182098204825478
A,RF,1_none,full,24,0.19830846727068213,0.7704351106639838
A,RF,1_none,lab_indicators_only,0,0.18812469998769177,0.7565376031200726
A,RF,1_none,lab_indicators_only,1,0.16468630477628776,0.7195191157763238
A,RF,1_none,lab_indicators_only,2,0.1446737111165598,0.7064096313957298
A,RF,1_none,lab_indicators_only,3,0.16254150890521463,0.7195683104774014
A,RF,1_none,lab_indicators_only,4,0.1570756346410705,0.7280005792329736
A,RF,1_none,lab_indicators_only,5,0.1717311422096924,0.7540886204191074
